playerID,CAM,CB,CDM,CF,CM,GK,LB,LF,LM,LW,LWB,RB,RF,RM,RW,RWB,ST,SW
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0,4,0,0,0,0,2,3,0,0,0
28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
58,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
80,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
164,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
201,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
241,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
244,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
245,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
249,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0
250,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
268,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
269,3,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
